AP_ICAO,AP_Name,AP_IATA,AP_Country,AP_LatLong,AP_Municipality,AP_Type,AP_AltitudeFt,AP_RunwayLenM,AP_Passengers,AP_MoreInfoLink,AP_URLHome
ENRA,Mo i Rana Airport RÃ¸ssvoll,MQN,NO,"N662150,E0141806",Mo i Rana,A,229,871,109660,https://en.wikipedia.org/wiki/Mo_i_Rana_Airport_RÃ¸ssvoll,NULL
DNYO,Yola Airport,YOL,NG,"N091527,E0122549",Yola,A,599,NULL,108677,https://en.wikipedia.org/wiki/Yola_Airport,NULL
KMVY,Martha's Vineyard Airport,MVY,US,"N412335,W0703652",Martha's Vineyard,A,67,1678,108168,https://en.wikipedia.org/wiki/Martha's_Vineyard_Airport,http://www.mvyairport.com/
KYKM,Yakima Air Terminal,YKM,US,"N463405,W1203238",Yakima,A,1099,NULL,107664,https://en.wikipedia.org/wiki/Yakima_Air_Terminal,http://www.yakimaairterminal.com/
KLCH,Lake Charles Regional Airport,LCH,US,"N300734,W0931324",Lake Charles,A,15,1585,107152,https://en.wikipedia.org/wiki/Lake_Charles_Regional_Airport,http://www.flylakecharles.com/
LFGJ,Dole-Jura Airport,DLE,FR,"N470234,E0052606",Dole/Tavaux,A,645,2800,107025,https://en.wikipedia.org/wiki/Dole-Jura_Airport,http://www.aeroportfranchecomte.com/
KFLO,Florence Regional Airport,FLO,US,"N341107,W0794326",Florence,A,146,1829,105222,https://en.wikipedia.org/wiki/Florence_Regional_Airport,http://www.florencescairport.com/
KTYR,Tyler Pounds Regional Airport,TYR,US,"N322114,W0952410",Tyler,A,544,NULL,104988,https://en.wikipedia.org/wiki/Tyler_Pounds_Regional_Airport,http://www.cityoftyler.org/Departments/Airport.aspx
YPKU,East Kimberley Regional Airport,KNX,AU,"S154641,E1284229",Kununurra,A,145,1829,104800,https://en.wikipedia.org/wiki/East_Kimberley_Regional_Airport,http://www.swek.wa.gov.au/community/airports
MDLR,La Romana International Airport,LRM,DO,"N182708,W0685630",La Romana,A,213,2949,104427,https://en.wikipedia.org/wiki/La_Romana_International_Airport,NULL
LTBU,TekirdaÄŸ Ã‡orlu Airport,TEQ,TR,"N410818,E0275509",Ã‡orlu,A,574,3000,104335,https://en.wikipedia.org/wiki/TekirdaÄŸ_Ã‡orlu_Airport,http://corlu.dhmi.gov.tr/
